time,temperatuer_high,temperature_low,temperatureDelta,晴,云,阴,雨,雾,霾,雪,沙,雷,无持续风向,北风,东北风,南风,wind_power,good,bad,other,kouzhaoWeiboNum,ration,target
2013-1-1,-3,-13,10,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,2,1,1,0.073142503,45.73913043
2013-1-2,-6,-14,8,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,6,2,2,0.241497244,36.52173913
2013-1-3,-4,-13,9,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,17,2,3,0.533550736,61.34782609
2013-1-4,-3,-11,8,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,9,3,7,0.394877746,125.6086957
2013-1-5,-2,-12,10,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,9,1,4,0.34627698,109.2173913
2013-1-6,0,-11,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,11,4,7,0.439307364,143.8636364
2013-1-7,0,-9,9,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,21,2,20,0.640636379,216.3478261
2013-1-8,0,-11,11,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,21,3,12,0.750193391,113.0434783
2013-1-9,0,-11,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,14,4,5,0.538178457,89.04545455
2013-1-10,0,-9,9,1,1,1,0,1,0,1,0,0,1,0,0,0,3,1,74,6,29,2.459521242,279.7391304
2013-1-11,3,-7,10,1,1,1,0,1,0,0,0,0,1,1,0,0,4,3,228,4,155,6.072232869,363.6521739
2013-1-12,2,-7,9,1,1,0,0,1,0,0,0,0,1,0,0,0,3,18,1276,15,611,39.1136729,426.1304348
2013-1-13,0,-7,7,1,1,0,0,1,1,1,0,0,1,0,0,0,3,19,1620,86,1312,51.53902155,407.8695652
2013-1-14,0,-5,5,1,0,1,0,1,1,1,0,0,1,0,0,0,3,12,924,62,1151,28.13961843,303.6086957
2013-1-15,0,-7,7,0,1,1,0,1,0,1,0,0,1,0,0,0,3,5,626,48,587,18.2290624,132.6086957
2013-1-16,0,-9,9,1,1,0,0,0,0,0,0,0,1,0,0,0,3,7,238,23,204,7.785645231,125.8695652
2013-1-17,3,-8,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,4,136,19,77,4.655125866,96
2013-1-18,3,-7,10,1,1,0,0,1,1,0,0,0,1,0,0,0,3,4,154,17,118,5.122919249,277.1304348
