date,good,bad,other
2012-1-1,2,12,0
2012-1-2,1,11,0
2012-1-3,2,8,5
2012-1-4,1,11,3
2012-1-5,1,22,6
2012-1-6,0,16,3
2012-1-7,0,14,1
2012-1-8,0,12,3
2012-1-9,1,29,2
2012-1-10,4,183,8
2012-1-11,13,46,6
2012-1-12,3,32,3
2012-1-13,0,12,1
2012-1-14,0,18,0
2012-1-15,0,7,0
2012-1-16,1,18,2
2012-1-17,0,41,1
2012-1-18,1,111,7
2012-1-19,2,142,12
2012-1-20,1,66,10
2012-1-21,0,25,2
2012-1-22,3,46,4
2012-1-23,6,129,6
2012-1-24,2,20,1
2012-1-25,1,10,1
2012-1-26,0,12,2
2012-1-27,0,43,0
2012-1-28,0,20,7
2012-1-29,2,10,2
2012-1-30,0,18,0
2012-1-31,1,16,1
2012-2-1,1,11,7
2012-2-2,1,8,3
2012-2-3,0,10,1
2012-2-4,1,16,0
2012-2-5,0,17,2
2012-2-6,3,92,2
2012-2-7,1,24,1
2012-2-8,0,10,1
2012-2-9,1,13,3
2012-2-10,0,5,1
2012-2-11,0,6,4
2012-2-12,0,10,2
2012-2-13,1,30,1
2012-2-14,2,22,5
2012-2-15,0,14,5
2012-2-16,0,13,2
2012-2-17,1,8,4
2012-2-18,0,9,9
2012-2-19,1,8,2
2012-2-20,1,40,11
2012-2-21,0,24,11
2012-2-22,1,83,11
2012-2-23,2,16,3
2012-2-24,2,25,3
2012-2-25,1,8,2
2012-2-26,0,10,6
2012-2-27,2,35,4
2012-2-28,0,44,4
2012-2-29,1,38,0
2012-3-1,3,54,2
2012-3-2,1,37,14
2012-3-3,2,18,10
2012-3-4,1,21,6
2012-3-5,0,29,2
2012-3-6,1,28,2
2012-3-7,0,18,1
2012-3-8,1,9,4
2012-3-9,0,10,1
2012-3-10,0,17,5
2012-3-11,0,11,5
2012-3-12,2,22,3
2012-3-13,2,20,3
2012-3-14,0,8,2
2012-3-15,1,7,5
2012-3-16,1,54,3
2012-3-17,3,89,3
2012-3-18,2,19,3
2012-3-19,1,19,7
2012-3-20,0,19,3
2012-3-21,0,44,6
2012-3-22,2,36,1
2012-3-23,6,28,0
2012-3-24,2,15,0
2012-3-25,0,7,2
2012-3-26,0,19,4
2012-3-27,2,18,3
2012-3-28,0,18,8
2012-3-29,1,14,5
2012-3-30,0,27,3
2012-3-31,2,43,1
2012-4-1,1,7,2
2012-4-2,1,9,2
2012-4-3,0,10,1
2012-4-4,1,10,0
2012-4-5,1,19,5
2012-4-6,1,21,1
2012-4-7,0,11,3
2012-4-8,0,14,2
2012-4-9,0,29,5
2012-4-10,0,10,3
2012-4-11,2,10,1
2012-4-12,3,11,5
2012-4-13,0,10,3
2012-4-14,0,8,0
2012-4-15,0,13,1
2012-4-16,1,12,3
2012-4-17,0,13,5
2012-4-18,0,31,2
2012-4-19,0,19,2
2012-4-20,0,36,0
2012-4-21,1,16,2
2012-4-22,1,22,2
2012-4-23,0,47,4
2012-4-24,1,22,2
2012-4-25,4,28,4
2012-4-26,0,27,3
2012-4-27,4,43,3
2012-4-28,1,38,4
2012-4-29,0,89,4
2012-4-30,2,63,1
2012-5-1,1,55,2
2012-5-2,0,40,2
