date,good,bad,other
2013-1-1,0,2,1
2013-1-2,0,6,2
2013-1-3,0,17,2
2013-1-4,2,9,3
2013-1-5,0,9,1
2013-1-6,0,11,4
2013-1-7,0,21,2
2013-1-8,0,21,3
2013-1-9,0,14,4
2013-1-10,1,74,6
2013-1-11,3,228,4
2013-1-12,18,1276,15
2013-1-13,19,1620,86
2013-1-14,12,924,62
2013-1-15,5,626,48
2013-1-16,7,238,23
2013-1-17,4,136,19
2013-1-18,4,154,17
2013-1-19,2,115,7
2013-1-20,3,96,6
2013-1-21,1,96,14
2013-1-22,1,113,15
2013-1-23,5,248,14
2013-1-24,20,107,13
2013-1-25,0,71,14
2013-1-26,2,62,4
2013-1-27,1,129,4
2013-1-28,3,296,8
2013-1-29,6,636,34
2013-1-30,8,441,46
2013-1-31,8,533,62
2013-2-1,0,10,1
2013-2-2,0,0,0
2013-2-3,0,0,0
2013-2-4,0,0,0
2013-2-5,0,0,0
2013-2-6,17,115,10
2013-2-7,25,92,7
2013-2-8,18,115,11
2013-2-9,4,199,5
2013-2-10,13,245,8
2013-2-11,5,90,5
2013-2-12,1,76,2
2013-2-13,2,71,5
2013-2-14,12,104,5
2013-2-15,5,58,9
2013-2-16,1,84,7
2013-2-17,11,133,11
2013-2-18,14,73,11
2013-2-19,16,73,7
2013-2-20,6,78,4
2013-2-21,1,93,8
2013-2-22,13,59,5
2013-2-23,1,80,7
2013-2-24,11,538,13
2013-2-25,0,193,18
2013-2-26,3,75,13
2013-2-27,2,114,17
2013-2-28,20,513,22
2013-3-1,34,88,17
2013-3-2,8,70,4
2013-3-3,2,82,11
2013-3-4,19,63,12
2013-3-5,3,105,7
2013-3-6,5,135,15
2013-3-7,1,227,13
2013-3-8,1,166,11
2013-3-9,8,174,18
2013-3-10,8,104,6
2013-3-11,2,75,13
2013-3-12,4,104,9
2013-3-13,20,115,9
2013-3-14,2,69,6
2013-3-15,1,77,11
2013-3-16,0,90,7
2013-3-17,6,136,10
2013-3-18,13,85,7
2013-3-19,6,97,13
2013-3-20,9,89,10
2013-3-21,2,72,7
2013-3-22,2,57,8
2013-3-23,3,46,0
2013-3-24,19,47,3
2013-3-25,2,57,2
2013-3-26,0,83,5
2013-3-27,7,97,10
2013-3-28,10,56,4
2013-3-29,6,103,8
2013-3-30,1,57,10
2013-3-31,0,85,5
2013-4-1,6,69,8
2013-4-2,7,79,15
2013-4-3,2,92,11
2013-4-4,1,48,4
2013-4-5,5,33,7
2013-4-6,13,33,2
2013-4-7,5,34,7
2013-4-8,3,39,1
2013-4-9,18,46,7
2013-4-10,18,30,4
2013-4-11,12,28,6
2013-4-12,6,40,11
2013-4-13,6,41,4
2013-4-14,14,34,0
2013-4-15,2,44,4
2013-4-16,3,54,4
2013-4-17,3,38,5
2013-4-18,27,35,3
2013-4-19,7,51,4
2013-4-20,3,40,1
2013-4-21,2,42,4
2013-4-22,3,61,4
2013-4-23,3,86,8
2013-4-24,12,53,11
2013-4-25,22,22,4
2013-4-26,5,39,7
2013-4-27,3,42,6
2013-4-28,5,38,0
2013-4-29,9,22,1
2013-4-30,1,12,3
2013-5-1,1,7,2
2013-5-2,4,17,2
2013-5-3,1,8,3
2013-5-4,3,11,6
2013-5-5,2,34,2
2013-5-6,3,91,10
2013-5-7,7,62,3
2013-5-8,1,35,4
2013-5-9,3,30,5
2013-5-10,1,16,4
2013-5-11,0,10,1
2013-5-12,3,20,3
2013-5-13,0,29,27
2013-5-14,0,9,5
2013-5-15,1,9,4
2013-5-16,1,19,2
2013-5-17,0,27,5
2013-5-18,1,25,1
2013-5-19,2,21,7
2013-5-20,2,15,1
2013-5-21,0,17,2
2013-5-22,0,19,4
2013-5-23,1,12,4
2013-5-24,0,33,6
2013-5-25,1,9,2
2013-5-26,3,16,2
2013-5-27,1,13,6
2013-5-28,1,11,4
2013-5-29,6,15,9
2013-5-30,1,7,3
2013-5-31,0,12,3
2013-6-1,0,9,2
2013-6-2,2,32,1
2013-6-3,0,27,2
2013-6-4,0,28,6
2013-6-5,1,26,10
2013-6-6,2,34,4
2013-6-7,2,28,7
2013-6-8,2,32,8
2013-6-9,2,16,1
2013-6-10,1,14,1
2013-6-11,2,17,2
2013-6-12,1,6,3
2013-6-13,1,14,2
2013-6-14,1,12,4
2013-6-15,0,16,4
2013-6-16,1,30,2
2013-6-17,4,33,3
2013-6-18,1,15,7
2013-6-19,3,32,6
2013-6-20,1,36,4
2013-6-21,2,29,8
2013-6-22,1,18,4
2013-6-23,1,7,4
2013-6-24,0,51,3
2013-6-25,1,10,2
2013-6-26,1,17,4
2013-6-27,1,25,3
2013-6-28,2,144,7
2013-6-29,1,45,2
2013-6-30,1,69,3
2013-7-1,0,95,20
2013-7-2,5,49,5
2013-7-3,3,18,1
2013-7-4,0,16,3
2013-7-5,2,7,4
2013-7-6,0,33,2
2013-7-7,0,13,2
2013-7-8,0,16,6
2013-7-9,0,86,19
2013-7-10,0,41,10
2013-7-11,0,29,3
2013-7-12,0,32,10
2013-7-13,0,16,0
2013-7-14,0,17,2
2013-7-15,0,13,8
2013-7-16,2,36,3
2013-7-17,0,8,1
2013-7-18,0,20,3
2013-7-19,0,17,3
2013-7-20,0,10,2
2013-7-21,1,20,0
2013-7-22,1,22,3
